time;send_diff;receive_diff;;;
170963,0685;10,194288;10,194335;;;
170973,2648;10,194099;10,196288;;;
170983,4595;10,195529;10,194654;;;
170993,6542;10,194268;10,194684;;;
171003,8484;10,195728;10,194279;;;
171014,0428;10,194176;10,194369;;;
171024,2371;10,194232;10,194257;;;
171034,4325;10,194345;10,195398;;;
171044,6259;10,194202;10,193411;;;
171054,82;10,194133;10,194151;;;
171065,0162;10,194058;10,196167;;;
171075,2111;10,960324;10,194916;;;
171085,4057;9,430202;10,194597;;;
171095,5989;10,194078;10,193224;;;
171105,7939;10,194108;10,19498;;;
171115,9887;10,194215;10,194804;;;
171126,183;10,703487;10,19432;;;
171136,3803;9,685576;10,197277;;;
171146,571;10,194119;10,190658;;;
171156,7679;10,194146;10,196971;;;
171166,9619;10,195629;10,194004;;;
171177,156;10,46385;10,194018;;;
171187,3507;9,925332;10,194776;;;
171197,5482;10,194062;10,197464;;;
171207,747;10,194311;10,198808;;;
171217,9337;10,194771;10,186664;;;
171228,1286;10,414374;10,194881;;;
171238,3237;9,974579;10,195133;;;
171248,5192;10,194217;10,195477;;;
171258,7143;10,19623;10,195102;;;
171268,9085;10,194229;10,194243;;;
171279,1031;10,194132;10,194579;;;
171289,2963;10,194172;10,193173;;;
171299,4928;10,194151;10,196553;;;
171309,686;10,194132;10,193187;;;
171319,8814;10,194486;10,195447;;;
171330,0734;10,194203;10,191924;;;
171340,2743;10,194156;10,200906;;;
171350,4676;10,198509;10,193339;;;
171360,6613;10,194136;10,193697;;;
171370,8552;10,194176;10,193842;;;
171381,0498;10,194421;10,194594;;;
171391,2451;10,194374;10,195388;;;
171401,4408;10,194207;10,195658;;;
171411,6327;10,194307;10,191922;;;
171421,827;10,194072;10,194232;;;
171432,0239;10,194177;10,196902;;;
171442,2182;10,993804;10,19438;;;
171452,4112;9,396125;10,192954;;;
171462,6058;10,194085;10,194585;;;
171472,8;10,194186;10,194211;;;
171482,9966;10,194189;10,196572;;;
171493,1897;10,728465;10,1931;;;
